Johor,Pontian,JHR03,J7
Johor,Batu Pahat,JHR04,J8
Johor,Muar,JHR04,J9
Kedah,Kota Setar,KDH01,K1
Kedah,Kulim,KDH05,K10
Kedah,Bandar Bahru,KDH05,K11
Kedah,Langkawi,KDH06,K12
Kedah,Gunung Jerai,KDH07,K13
Kedah,Kubang Pasu,KDH01,K2
Kedah,Pokok Sena,KDH01,K3
Kedah,Pendang,KDH02,K4
Kedah,Kuala Muda,KDH02,K5
Kedah,Yan,KDH02,K6
Kedah,Padang Terap,KDH03,K7
Kedah,Sik,KDH03,K8
Kedah,Baling,KDH04,K9
Kuala Lumpur,Kuala Lumpur,SGR03,KL1
Labuan,Labuan,WLY02,L1
Melaka,Bandar Melaka,MLK01,M1
Melaka,Alor Gajah,MLK01,M2
Melaka,Jasin,MLK01,M3
Melaka,Masjid Tanah,MLK01,M4
Melaka,Merlimau,MLK01,M5
Melaka,Nyalas,MLK01,M6
Negeri Sembilan,Jempol,NGS01,N1
Negeri Sembilan,Tampin,NGS01,N2
Negeri Sembilan,Port Dickson,NGS02,N3
Negeri Sembilan,Seremban,NGS02,N4
Negeri Sembilan,Kuala Pilah,NGS02,N5
Negeri Sembilan,Jelebu,NGS02,N6
Negeri Sembilan,Rembau,NGS02,N7
Pulau Pinang,Pulau Pinang,PNG01,P1
Putrajaya,Putrajaya,SGR04,PJ
Sarawak,Limbang,SWK01,Q1
Sarawak,Tatau,SWK03,Q10
Sarawak,Suai,SWK03,Q11
Sarawak,Belaga,SWK03,Q12
Sarawak,Pandan,SWK03,Q13
Sarawak,Sebauh,SWK03,Q14
Sarawak,Bintulu,SWK03,Q15
Sarawak,Igan,SWK04,Q16
Sarawak,Oya,SWK04,Q17
Sarawak,Balingian,SWK04,Q18
Sarawak,Mukah,SWK04,Q19
Sarawak,Sundar,SWK01,Q2
Sarawak,Dalat,SWK04,Q20
Sarawak,Sibu,SWK04,Q21
Sarawak,Kanowit,SWK04,Q22
Sarawak,Kapit,SWK04,Q23
Sarawak,Song,SWK04,Q24
Sarawak,Tanjung Manis,SWK05,Q25
Sarawak,Belawai,SWK05,Q26
Sarawak,Matu,SWK05,Q27
Sarawak,Daro,SWK05,Q28
Sarawak,Sarikei,SWK05,Q29
Sarawak,Trusan,SWK01,Q3
Sarawak,Julau,SWK05,Q30
Sarawak,Bintangor,SWK05,Q31
Sarawak,Rajang,SWK05,Q32
Sarawak,Kabong,SWK06,Q33
Sarawak,Lingga,SWK06,Q34
Sarawak,Sri Aman,SWK06,Q35
Sarawak,Engkelili,SWK06,Q36
Sarawak,Lubok Antu,SWK06,Q37
Sarawak,Betong,SWK06,Q38
Sarawak,Spaoh,SWK06,Q39
Sarawak,Lawas,SWK01,Q4
Sarawak,Pusa,SWK06,Q40
Sarawak,Saratok,SWK06,Q41
Sarawak,Roban,SWK06,Q42
Sarawak,Debak,SWK06,Q43
Sarawak,Samarahan,SWK07,Q44
Sarawak,Simunjan,SWK07,Q45
Sarawak,Serian,SWK07,Q46
Sarawak,Sebuyau,SWK07,Q47
Sarawak,Meludam,SWK07,Q48
Sarawak,Kuching,SWK08,Q49
Sarawak,Niah,SWK02,Q5
Sarawak,Bau,SWK08,Q50
Sarawak,Lundu,SWK08,Q51
Sarawak,Sematan,SWK08,Q52
Sarawak,Zon Khas,SWK09,Q53
Sarawak,Bekenu,SWK02,Q6
Sarawak,Miri,SWK02,Q7
Sarawak,Sibuti,SWK02,Q8
Sarawak,Marudi,SWK02,Q9
Perlis,Kangar,PLS01,R1
Perlis,Padang Besar,PLS01,R2
Perlis,Arau,PLS01,R3
Terengganu,Kuala Terengganu,TRG01,T1
Terengganu,Marang,TRG01,T2
Terengganu,Besut,TRG02,T3
Terengganu,Setiu,TRG02,T4
Terengganu,Hulu Terengganu,TRG03,T5
Terengganu,Kamaman,TRG04,T6
Terengganu,Dungun,TRG04,T7
