Pulau Sibu,J4
Pulau Tinggi,J4
Sembrong,J4
Tenggaroh,J4
Tenglu,J4
Triang,J4
Endau,J4
Kulai,J5
Senai,J5
Masai,J5
Pasir Gudang,J5
Ulu Tiram,J5
Ulu Tiram,J5
Gelang Patah,J5
Nusajaya,J5
Kahang,J6
Layang-layang,J6
Machap,J6
Niyor,J6
Palah,J6
Rengam,J6
Ulu Benut,J6
Simpang Renggam,J6
Air Masin,J7
Ayer Baloi,J7
Benut,J7
Jeram Batu,J7
Pengkalan Raja,J7
Rimba Terjun,J7
Serkat,J7
Sungai Karang,J7
Sungei Pinggan,J7
Pontian District,J7
Pekan Nanas,J7
Kukup,J7
Bagan,J8
Chaah Bahru,J8
Kampong Bahru,J8
Linau,J8
Lubok,J8
Minyak Beku,J8
Peserai,J8
Simpang Kanan,J8
Simpang Kiri,J8
Sri Gading,J8
Sri Medan,J8
Sungai Kluang,J8
Sungai Punggor,J8
Tanjong Sembrong,J8
Senggarang,J8
Parit Raja,J8
Rengit,J8
Yong Peng,J8
Ayer Hitam,J9
Bukit Kepong,J9
Bukit Serampang,J9
Grisek,J9
Jorak,J9
Kesang,J9
Kg. Bukit Pasir,J9
Kundang,J9
Lenga,J9
Pagoh,J9
Parit Bakar,J9
Parit Jawa,J9
Serom,J9
Maharani,J9
Sri Menanti,J9
Sungai Balang,J9
Sungai Raya,J9
Tangkak,J9
Gerisek,J9
Bukit Pasir,J9
Sungai Mati,J9
Muar town,J9
Sungai Rambai,J9
Bakri,J9
Semerah,J9
Parit Sulong,J9
Alor Malai,K1
Alor Merah,K1
Alor Setar,K1
Anak Bukit,K1
Bukit Lada,K1
Bukit Pinang,K1
Derang,K1
Derga,K1
Gajah Mati,K1
Gunong,K1
Hutan Kampong,K1
Kangkong,K1
Kuala Kedah,K1
Kubang Rotan,K1
Langgar,K1
Lengkuas,K1
Lepai,K1
Lesong,K1
Limbong,K1
Mergong,K1
Padang Hang,K1
Padang Lalang,K1
Pengkalan Kundor,K1
Pumpong,K1
Sala Kechil,K1
Sungai Baharu,K1
Tajar,K1
Tebengau,K1
Telaga Mas,K1
Telok Chengai,K1
Telok Kechai,K1
Titi Gajah,K1
Tualang,K1
Alor Star,K1
Bagan Sena,K10
Junjong,K10
Karangan,K10
Keladi,K10
Lunas,K10
Mahang,K10
Naga Lilit,K10
Padang China,K10
Padang Meha,K10
Sedim,K10
Sidam Kanan,K10
Sungai Seluang,K10
Sungai Ular,K10
Terap,K10
Padang Serai,K10
Bagan Samak,K11
Kuala Selama,K11
Permatang Pasir,K11
Relau,K11
Serdang,K11
Sungai Batu,K11
Sungai Kechil,K11
Ayer Hangat,K12
Bohor,K12
Kedawang,K12
Kuah,K12
Padang Masirat,K12
Ulu Melaka,K12
Ah,K2
Binjal,K2
Bukit Tinggi,K2
Gelong,K2
Husba,K2
Jerlun,K2
Jitra,K2
Kepelu,K2
Kodiang,K2
Malau,K2
Naga,K2
Padang Perahu,K2
Pelubang,K2
Pering,K2
Putat,K2
Sanglang,K2
Sungai Laka,K2
Temin,K2
Tunjang,K2
Wang Tepus,K2
Bukit Kayu Hitam,K2
Sintok,K2
Universiti Utara Malaysia,K2
Changlun,K2
Ayer Puteh,K4
Bukit Raya,K4
Guar Kepayang,K4
Jenun,K4
Padang Kerbau,K4
Padang Peliang,K4
Padang Pusing,K4
Rambai,K4
Tobiar,K4
Kota Sarang Semut,K4
Bujang,K5
Bukit Meriam,K5
Gurun,K5
Haji Kudong,K5
Merbok,K5
Pekula,K5
Pinang Tunggal,K5
Rantau Panjang,K5
Semeling,K5
Sidam Kiri,K5
Simpor,K5
Sungai Pasir,K5
Sungai Petani,K5
Telui Kiri,K5
Bedong,K5
Kota Kuala Muda,K5
Dulang,K6
Sala Besar,K6
Singkir,K6
Sungai Daun,K6
Batang Tunggang Kanan,K7
Batang Tunggang Kiri,K7
Belimbing Kanan,K7
Belimbing Kiri,K7
Kurong Hitam,K7
Padang Temak,K7
Padang Terap Kanan,K7
Padang Terap Kiri,K7
Pedu,K7
Tekai,K7
Tolak,K7
Kuala Nerang,K7
Jeneri,K8
Sok,K8
Bakai,K9
Bongor,K9
Kupang,K9
Siong,K9
Tawar,K9
Telui Kanan,K9
Kuala Ketil,K9
Ampang,KL1
Cheras,KL1
Federal Territory of Labuan,L1
Menumbok,L1
Ayer Keroh,M1
Melaka Tengah,M1
Malacca,M1
Malim Jaya,M1
Tanjung Kling,M1
Kuala Sungai Baru,M1
Selandar,M1
Sungai Udang,M1
Ayer Melaka,M1
Bukit Lintang,M1
Durian Tunggal,M2
Asahan,M3
Pekan Asahan,M3
Batang Melaka,M3
Batu Kikir,N1
Juasseh,N1
Serting,N1
Bandar Baru Serting,N1
Bahau,N1
Gemencheh,N2
Johol,N2
Linggi,N3
Rantau,N3
Siliau,N3
Si Rusa,N3
Nilai,N4
Mantin,N4
Tanjong Ipoh,N5
Talang,N5
Senaling,N5
Sri Menanti,N5
Pilah,N5
Simpang Durian,N6
Simpang Pertang,N6
Titi,N6
Kuala Klawang,N6
Lubok China,N7
Pedas,N7
Kota,N7
Jelutong,P1
Penang,P1
Mukah,Q21
Bahagian Sarikei,Q29
Pakan,Q29
Lubok Antu,Q35
Bahagian Sri Aman,Q35
Engkilili,Q36
Siburan,Q49
Kota Samarahan,Q49
Asajaya,Q49
Perlis,R1
Kuala Perlis,R1
Simpang Ampat,R1
Kuala Besut,T3
Kampong Raja,T3
Jerteh,T3
Chalok,T4
Permaisuri,T4
Kuala Berang,T5
Ajil,T5
Al Muktafi Billah Shah,T6
Bukit Besi,T6
Ketengah Jaya,T6
Kuala Dungun,T6
Cukai,T6
Kijal,T6
Kerteh,T6
Balok,T6
Kemasik,T6
Paka,T6
Chukai,T6
Kemaman,T6
